CTE;Status;Empresa A;Empresa B;Motorista A;Motorista B;Dif Empresa;Dif Motorista;Maior Diferença;Margem B;Página A;Página B
1950;OK;12807.6;12807.6;13300.69;13300.69;0.0;0.0;0.0;;3.0;9.0
1951;OK;12885.6;12885.6;13381.7;13381.7;0.0;0.0;0.0;;3.0;9.0
1952;OK por arredondamento;23970.0;23970.0;24893.08;24892.85;0.0;0.23;0.23;;4.0;9.0
1953;OK por arredondamento;24072.0;24072.0;24999.01;24998.77;0.0;0.24;0.24;;4.0;9.0
1954;OK;12369.6;12369.6;12845.83;12845.83;0.0;0.0;0.0;;4.0;10.0
1955;OK;13322.4;13322.4;13835.31;13835.31;0.0;0.0;0.0;;4.0;10.0
1956;OK;16341.6;16341.6;16970.75;16970.75;0.0;0.0;0.0;;4.0;10.0
1957;OK;5367.84;5367.84;5574.5;5574.5;0.0;0.0;0.0;;4.0;10.0
1958;OK por arredondamento;24286.2;24286.2;25221.46;25221.22;0.0;0.24;0.24;;4.0;10.0
1959;OK por arredondamento;24327.0;24327.0;25263.83;25263.59;0.0;0.24;0.24;;4.0;10.0
1960;Divergente;15310.5;13473.24;13358.34;13473.24;1837.26;-114.9;1837.26;;4.0;10.0
1961;OK por arredondamento;23919.0;23919.0;24840.12;24839.88;0.0;0.24;0.24;;4.0;10.0
1962;OK por arredondamento;24857.4;24857.4;25814.65;25814.41;0.0;0.24;0.24;;4.0;10.0
1963;OK;24777.87;24777.87;25731.82;25731.82;0.0;0.0;0.0;;4.0;10.0
1965;Divergente;21025.2;21025.2;21834.67;22614.48;0.0;-779.81;779.81;;4.0;10.0
1966;OK por arredondamento;22757.4;22757.4;23633.8;23633.56;0.0;0.24;0.24;;4.0;10.0
1967;OK por arredondamento;13278.6;13278.6;13790.07;13789.83;0.0;0.24;0.24;;4.0;10.0
1968;OK por arredondamento;13389.3;13389.3;13905.04;13904.79;0.0;0.25;0.25;;4.0;10.0
1969;OK;12196.8;12196.8;12666.38;12666.38;0.0;0.0;0.0;;4.0;10.0
1970;OK por arredondamento;13440.6;13440.6;13958.31;13958.06;0.0;0.25;0.25;;4.0;10.0
1971;OK;17877.6;17877.6;18565.89;18565.89;0.0;0.0;0.0;;4.0;10.0
1972;OK;11961.6;11961.6;12422.12;12422.12;0.0;0.0;0.0;;4.0;10.0
1973;OK por arredondamento;12752.1;12752.1;13243.29;13243.06;0.0;0.23;0.23;;4.0;11.0
1974;OK;11328.0;11328.0;11764.13;11764.13;0.0;0.0;0.0;;4.0;11.0
1975;OK;17827.2;17827.2;18513.55;18513.55;0.0;0.0;0.0;;4.0;11.0
1976;OK por arredondamento;12895.2;12895.2;13391.9;13391.67;0.0;0.23;0.23;;4.0;11.0
1977;OK;8928.0;8928.0;9271.73;9271.73;0.0;0.0;0.0;;4.0;11.0
1978;OK;12168.0;12168.0;12636.47;12636.47;0.0;0.0;0.0;;4.0;11.0
1979;OK por arredondamento;12976.2;12976.2;13476.02;13475.78;0.0;0.24;0.24;;4.0;11.0
1980;OK;17539.2;17539.2;18214.46;18214.46;0.0;0.0;0.0;;4.0;10.0
1981;OK por arredondamento;13454.1;13454.1;13972.33;13972.08;0.0;0.25;0.25;;4.0;10.0
1982;OK;12201.6;12201.6;12671.36;12671.36;0.0;0.0;0.0;;4.0;11.0
1983;OK;12254.4;12254.4;12726.19;12726.19;0.0;0.0;0.0;;4.0;11.0
1984;OK;17712.0;17712.0;18393.91;18393.91;0.0;0.0;0.0;;4.0;11.0
1985;OK por arredondamento;19849.5;19849.5;20613.49;20613.71;0.0;-0.22;0.22;;4.0;11.0
1986;OK por arredondamento;13284.0;13284.0;13795.68;13795.43;0.0;0.25;0.25;;4.0;11.0
1987;OK;12088.8;12088.8;12554.22;12554.22;0.0;0.0;0.0;;4.0;11.0
1988;OK;16963.2;16963.2;17616.28;17616.28;0.0;0.0;0.0;;4.0;11.0
1989;OK por arredondamento;13356.9;13356.9;13871.39;13871.14;0.0;0.25;0.25;;4.0;11.0
1990;OK por arredondamento;13583.7;13583.7;14106.92;14106.67;0.0;0.25;0.25;;4.0;12.0
1991;OK;17128.8;17128.8;17788.26;17788.26;0.0;0.0;0.0;;4.0;12.0
1992;OK;12833.6;12833.6;13327.69;13327.69;0.0;0.0;0.0;;4.0;11.0
